CO_ANO,CO_MES,CO_MUN,CO_PAIS,KG_LIQUIDO,SG_UF_MUN,SH4,VL_FOB
2000,08,3443303,271,2935,SP,9306,17531
2000,02,3443303,072,5608,SP,9306,39725
2000,08,3136702,628,34344,MG,9306,377913
2000,09,3443303,072,15314,SP,9306,100393
2000,11,3443303,249,26725,SP,9306,143453
2000,12,3443303,069,11600,SP,9306,96710
2000,10,3443303,169,1689,SP,9306,30464
2000,01,3443303,249,29911,SP,9306,186411
2000,11,3443303,493,3949,SP,9306,50481
2000,11,3443303,244,43854,SP,9306,614197
2000,07,3443303,063,25095,SP,9306,178107
2000,01,3443303,069,1294,SP,9306,9764
2000,03,3443303,063,6005,SP,9306,43062
2000,10,3443303,741,15200,SP,9306,82440
2000,11,3443303,271,3,SP,9306,300
2000,06,3443303,351,152,SP,9306,1890
2000,07,3443303,538,7265,SP,9306,82294
2000,01,3443303,169,7497,SP,9306,112812
2000,11,3304557,850,325,RJ,9306,10000
2000,10,3443303,069,23200,SP,9306,194640
2000,02,3443303,741,12868,SP,9306,179422
2000,12,3443303,548,3307,SP,9306,33946
2000,12,3443303,538,14576,SP,9306,91786
2000,07,3443303,244,65633,SP,9306,863679
2000,02,3443303,063,9722,SP,9306,94426
2000,04,3443303,589,31499,SP,9306,373537
2000,04,3443303,063,27094,SP,9306,97513
2000,08,3443303,158,2411,SP,9306,18807
2000,04,3443303,628,1502,SP,9306,15827
2000,02,3443303,169,5,SP,9306,45
2000,04,3449904,845,11033,SP,9306,475262
2000,05,3443303,573,64,SP,9306,135
2000,03,3443303,163,2376,SP,9306,16361
2000,01,3443303,063,6163,SP,9306,46468
2000,01,3443303,158,3186,SP,9306,24893
2000,10,3443303,023,14413,SP,9306,87394
2000,11,3306107,087,360,RJ,9306,23868
2000,07,3443303,169,15,SP,9306,150
2000,12,3443303,244,18041,SP,9306,248848
2000,06,3443303,169,2594,SP,9306,48200
2000,07,3443303,069,2735,SP,9306,19633
2000,11,3443303,548,3919,SP,9306,43450
2000,01,3443303,845,987,SP,9306,11024
2000,06,3443303,023,29474,SP,9306,199241
2000,11,3443303,063,8067,SP,9306,26856
2000,09,3443303,548,8779,SP,9306,80165
2000,07,3443303,741,17,SP,9306,450
2000,09,3443303,275,13413,SP,9306,77391
2000,05,3443303,063,22323,SP,9306,102424
2000,12,3443303,301,196,SP,9306,2541
2000,04,3443303,158,22,SP,9306,80
2000,07,3443303,158,17,SP,9306,150
2000,04,3443303,741,38742,SP,9306,537085
2000,08,3443303,244,43479,SP,9306,533333
2000,08,3443303,245,10187,SP,9306,60767
2000,08,3443303,249,43482,SP,9306,291952
2000,04,3443303,386,1440,SP,9306,6888
2001,11,3443303,741,15200,SP,9306,73570
2001,11,3424402,169,20905,SP,9306,1437080
2001,08,3304557,059,21855,RJ,9306,1880000
2001,03,3443303,431,9150,SP,9306,66361
2001,03,3443303,245,8665,SP,9306,53273
2001,06,3443303,245,11104,SP,9306,57071
2001,12,3443303,063,21721,SP,9306,200708
2001,10,3443303,023,49319,SP,9306,294662
2001,09,3443303,275,11428,SP,9306,69584
